Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
02079K107,NamedIndividual,Equities Example Individuals Ontology,,Alphabet Inc. class C common share CUSIP,,,,release
02079K305,NamedIndividual,Equities Example Individuals Ontology,,Alphabet Inc. class A common share CUSIP,,,,release
037833100,NamedIndividual,Equities Example Individuals Ontology,,Apple Inc. common share CUSIP,,,,release
172967424,NamedIndividual,Equities Example Individuals Ontology,,Citigroup Inc. common share CUSIP,,,,release
191216100,NamedIndividual,Equities Example Individuals Ontology,,The Coca-Cola Company common share CUSIP,,,,release
24 EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
24 EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
360T,NamedIndividual,Markets Individuals,,,,,,release
360T operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
4 AFRICA EXCHANGE (PTY) LTD,NamedIndividual,Markets Individuals,,,,,,release
4 AFRICA EXCHANGE (PTY) LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
42 FINANCIAL SERVICES,NamedIndividual,Markets Individuals,,,,,,release
42 FINANCIAL SERVICES - MTF,NamedIndividual,Markets Individuals,,,,,,release
42 FINANCIAL SERVICES - MTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
42 FINANCIAL SERVICES operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
437076102,NamedIndividual,Equities Example Individuals Ontology,,"The Home Depot, Inc. common share CUSIP",,,,release
459200101,NamedIndividual,Equities Example Individuals Ontology,,IBM common share CUSIP,,,,release
46625H100,NamedIndividual,Equities Example Individuals Ontology,,JPMorgan Chase & Co. common share CUSIP,,,,release
742718109,NamedIndividual,Equities Example Individuals Ontology,,The Proctor & Gamble Company common share CUSIP,,,,release
949746101,NamedIndividual,Equities Example Individuals Ontology,,Wells Fargo & Company common share CUSIP,,,,release
A AND G BANCA PRIVADA SAU,NamedIndividual,Markets Individuals,,,,,,release
A AND G BANCA PRIVADA SAU operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
A2X,NamedIndividual,Markets Individuals,,,,,,release
A2X operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AA,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,"US-specific code for the state designation for Armed Forces Americas, excluding Canada",,,,release
AB,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,Canadian and US-specific code for the designation for Alberta,,,,release
AB NASDAQ VILNIUS,NamedIndividual,Markets Individuals,,,,,,release
AB NASDAQ VILNIUS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
